name,artist,album,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
The Last Gunfighter Ballad,Johnny Cash,The Last Gunfighter Ballad,72Tff5TvTSvEI8R4gqmdH8,36,0.643,0.407,5,-14.181,1,0.321,0.815,1.3e-05,0.157,0.721,82.612,audio_features,72Tff5TvTSvEI8R4gqmdH8,spotify:track:72Tff5TvTSvEI8R4gqmdH8,https://api.spotify.com/v1/tracks/72Tff5TvTSvEI8R4gqmdH8,https://api.spotify.com/v1/audio-analysis/72Tff5TvTSvEI8R4gqmdH8,167293,4,country
Daddy Dance with Me,Krystal Keith,Whiskey & Lace,72puM2kCKkBQ9hqrF23dgj,36,0.552,0.34,1,-8.394,1,0.031,0.679,0.0,0.103,0.333,129.977,audio_features,72puM2kCKkBQ9hqrF23dgj,spotify:track:72puM2kCKkBQ9hqrF23dgj,https://api.spotify.com/v1/tracks/72puM2kCKkBQ9hqrF23dgj,https://api.spotify.com/v1/audio-analysis/72puM2kCKkBQ9hqrF23dgj,258293,4,country
Son Of A Gun - 2006 Remastered Version,Black Oak Arkansas,Street Party,0vBs1WvRUH8YdzUFPRsh5k,8,0.456,0.902,9,-6.69,0,0.0411,0.014,0.000843,0.146,0.635,125.413,audio_features,0vBs1WvRUH8YdzUFPRsh5k,spotify:track:0vBs1WvRUH8YdzUFPRsh5k,https://api.spotify.com/v1/tracks/0vBs1WvRUH8YdzUFPRsh5k,https://api.spotify.com/v1/audio-analysis/0vBs1WvRUH8YdzUFPRsh5k,269093,4,country
I Picture Myself with a Guitar,Daniel Johnston,Hi How Are You,7fB2OjQQUwHlIVPy50QAmM,25,0.577,0.0241,1,-22.549,0,0.0616,0.996,0.89,0.107,0.351,115.481,audio_features,7fB2OjQQUwHlIVPy50QAmM,spotify:track:7fB2OjQQUwHlIVPy50QAmM,https://api.spotify.com/v1/tracks/7fB2OjQQUwHlIVPy50QAmM,https://api.spotify.com/v1/audio-analysis/7fB2OjQQUwHlIVPy50QAmM,44785,4,country
"Zlato, Nech Mě",Vera Martinova,Věřím Svým Snům,2N4Z5XADbr3XywhSJQ1Uy7,0,0.656,0.718,7,-7.038,1,0.0769,0.874,9.41e-05,0.238,0.935,156.189,audio_features,2N4Z5XADbr3XywhSJQ1Uy7,spotify:track:2N4Z5XADbr3XywhSJQ1Uy7,https://api.spotify.com/v1/tracks/2N4Z5XADbr3XywhSJQ1Uy7,https://api.spotify.com/v1/audio-analysis/2N4Z5XADbr3XywhSJQ1Uy7,203600,4,country
Dreamer And The Dream,Amy Sky,Ordinary Miracles,6JS5OkJCyJCDUuwYhymmXv,0,0.521,0.568,4,-8.209,1,0.0275,0.579,0.0,0.104,0.241,76.956,audio_features,6JS5OkJCyJCDUuwYhymmXv,spotify:track:6JS5OkJCyJCDUuwYhymmXv,https://api.spotify.com/v1/tracks/6JS5OkJCyJCDUuwYhymmXv,https://api.spotify.com/v1/audio-analysis/6JS5OkJCyJCDUuwYhymmXv,279533,4,country
John O'Halloran,Danny Doyle,Festival Of Irish Folk Music - Volume 1,1FmWmzm7MOqS2ArvuqB4to,0,0.289,0.148,0,-16.672,0,0.036,0.791,0.0,0.112,0.206,104.542,audio_features,1FmWmzm7MOqS2ArvuqB4to,spotify:track:1FmWmzm7MOqS2ArvuqB4to,https://api.spotify.com/v1/tracks/1FmWmzm7MOqS2ArvuqB4to,https://api.spotify.com/v1/audio-analysis/1FmWmzm7MOqS2ArvuqB4to,333453,5,country
Across the Line,The Guess Who,Plein D'Amour,6fEpH40Flchsm7EmZAXqnM,10,0.475,0.586,9,-5.654,1,0.0286,0.00449,0.0,0.301,0.277,127.989,audio_features,6fEpH40Flchsm7EmZAXqnM,spotify:track:6fEpH40Flchsm7EmZAXqnM,https://api.spotify.com/v1/tracks/6fEpH40Flchsm7EmZAXqnM,https://api.spotify.com/v1/audio-analysis/6fEpH40Flchsm7EmZAXqnM,294311,4,country
Moonlight and Magnolia,Buck Owens,Rare Country Greats,7ivjNpEIWMNyUG8K20wd4V,0,0.797,0.758,2,-8.308,1,0.0275,0.0754,0.00013,0.0722,0.969,118.711,audio_features,7ivjNpEIWMNyUG8K20wd4V,spotify:track:7ivjNpEIWMNyUG8K20wd4V,https://api.spotify.com/v1/tracks/7ivjNpEIWMNyUG8K20wd4V,https://api.spotify.com/v1/audio-analysis/7ivjNpEIWMNyUG8K20wd4V,166827,4,country
Someone's Someone,Walker County,Chilled Country,1XwqIm1aCEqMOU21LIKtwS,0,0.629,0.722,6,-6.247,1,0.0336,0.0573,1.11e-05,0.0784,0.808,89.987,audio_features,1XwqIm1aCEqMOU21LIKtwS,spotify:track:1XwqIm1aCEqMOU21LIKtwS,https://api.spotify.com/v1/tracks/1XwqIm1aCEqMOU21LIKtwS,https://api.spotify.com/v1/audio-analysis/1XwqIm1aCEqMOU21LIKtwS,171547,4,country
